Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags
Asymptomatic carriers of COVID-19 in a confined adult community population in Quebec: A cross-sectional study,"Cloutier, L.; Merindol, N.; Pepin, G.; Marcoux-Huard, C.; Vasil, P. A.; Houle, C.; Todkar, S.; Lehoux, M. C.; Houle, N.; Germain, H.; Danylo, A.","Several countries have undertaken social distancing measures to stop SARS-CoV-2 spread. Asymptomatic carriers' prevalence is unknown and would provide essential information on hidden viral circulation. In our cross-sectional study, 1.82% of 330 asymptomatic confined individuals living in the community carried SARS-CoV-2 despite no contact with declared cases, raising concerns about unnoticed transmission. Crown Copyright (C) 2020 Published by Elsevier Inc. on behalf of Association for Professionals in Infection Control and Epidemiology, Inc.",2021,Jan,American Journal of Infection Control,49,1,120-122,WOS:000603402100020,10.1016/j.ajic.2020.08.015,,#77600,Cloutier 2021,Exclusion reason:  No serological antibody testing ; ,""
Serosurveillance for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Incidence Using Global Blood Donor Populations.,"Busch, Michael P; Stone, Mars",,2021,/,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,72,2,254-256,,https://dx.doi.org/10.1093/cid/ciaa1116,33501953,#75605,Busch 2021,Exclusion reason:  No serological antibody testing ; ,""
Excess Deaths in the COVID-19 Pandemic in India,"Sane, Renuka; Shah, Ajay","Background: Excess death estimates, reflecting a combination of covid- 19 and non-covid-19 factors, are required to understand the full impact of the pandemic. Relatively little is known about excess deaths in low and middle income countries (LMIC) owing to weaknesses of official statistics on number of deaths and causes of death. India has the second largest number of covid-19 infections globally and is thus an important LMIC. We contribute to the measurement of two key facts: all causes excess deaths and an upper bound for the IFR. &lt;br&gt;&lt;br&gt;Methods: Consumer Pyramids Household Survey (CPHS) is a panel survey dataset across India carried out three times a year. The survey has demographic, economic, and health information about 170,000 households and 600,000 individuals. We use this to estimate excess deaths in the April - August 2020 period across India. We examine correlations between member characteristics such as age, sex, health conditions, urban or rural residence, and economic profile, with the probability of death. We juxtapose this estimated excess death rate with estimates from a seroprevalance survey for the same household dataset, in the state of Karnataka (which has a population of 64 million), to estimate an upper bound for the IFR. &lt;br&gt;&lt;br&gt;Findings: The average annualised crude death rate for May - August 2015-2019 was 8.293 per 1000. This increased to 15.02 per 1000 in May - August 2020. This suggests an annualised excess death rate of 6.7 per 1000. There is a certain divergence of correlations with mortality with member characteristics such as gender, age and income class, as compared with what may be expected with covid-19 related deaths. The estimated upper bound for the IFR in the state of Karnataka is 1.3%.&lt;br&gt;&lt;br&gt;Interpretation: This rise in all-causes deaths, and the socioeconomic characteristics associated with mortality, can help shape improved responses on the part of health policy in understanding the vulnerable and modifying policies to address the problems. These methods can be applied with some panel datasets in other LMIC in order to estimate similar quantities. These results hint at a significant role for non-covid-19 factors in the increased deaths.&lt;br&gt;&lt;br&gt;Funding Statement: None.&lt;br&gt;&lt;br&gt;Declaration of Interests: The authors declare no conflict of interest.&lt;br&gt;&lt;br&gt;Ethics Approval Statement: The work does not involve primary data collection. No ethics approval was therefore taken.",2021,,,,,,PPR274847,10.2139/ssrn.3750679,,#77318,Sane 2021,"Exclusion reason: Wrong study design (anything other than cross sectional, repeated cross sectional, or cohort) ; ",""
What is the true incidence of COVID-19 in patients with rheumatic diseases?,Favalli E.G.; Ingegnoli F.; Cimaz R.; Caporali R. ,,2021,/,Annals of the Rheumatic Diseases,80,2,217615,,http://dx.doi.org/10.1136/annrheumdis-2020-217615,631570171,#76334,Favalli 2021,Exclusion reason:  No serological antibody testing ; ,""
Perceptions and Experiences of the University of Nottingham Pilot SARS-CoV-2 Asymptomatic Testing Service: A Mixed-Methods Study,"Blake, H.; Corner, J.; Cirelli, C.; Hassard, J.; Briggs, L.; Daly, J. M.; Bennett, M.; Chappell, J. G.; Fairclough, L.; McClure, C. P.; Tarr, A.; Tighe, P.; Favier, A.; Irving, W.; Ball, J.","We aimed to explore student and staff perceptions and experiences of a pilot SARS-CoV-2 asymptomatic testing service (P-ATS) in a UK university campus setting. This was a mixed-method study comprised of an online survey, and thematic analysis of qualitative data from interviews and focus groups conducted at the mid-point and end of the 12-week P-ATS programme. Ninety-nine students (84.8% female, 70% first year; 93.9% P-ATS participants) completed an online survey, 41 individuals attended interviews or focus groups, including 31 students (21 first year; 10 final year) and 10 staff. All types of testing and logistics were highly acceptable (virus: swab, saliva; antibody: finger prick) and 94.9% would participate again. Reported adherence to weekly virus testing was high (92.4% completed >= 6 tests; 70.8% submitted all 10 swabs; 89.2% completed >= 1 saliva sample) and 76.9% submitted >= 3 blood samples. Students tested to ""keep campus safe"", ""contribute to national efforts to control COVID-19"", and ""protect others"". In total, 31.3% had high anxiety as measured by the Generalized Anxiety Disorder scale (GAD-7) (27.1% of first year). Students with lower levels of anxiety and greater satisfaction with university communications around P-ATS were more likely to adhere to virus and antibody tests. Increased adherence to testing was associated with higher perceived risk of COVID-19 to self and others. Qualitative findings revealed 5 themes and 13 sub-themes: ""emotional responses to COVID-19"", ""university life during COVID-19"", ""influences on testing participation"", ""testing physical and logistical factors"" and ""testing effects on mental wellbeing"". Asymptomatic COVID-19 testing (SARS-CoV-2 virus/antibodies) is highly acceptable to students and staff in a university campus setting. Clear communications and strategies to reduce anxiety are likely to be important for testing uptake and adherence. Strategies are needed to facilitate social connections and mitigate the mental health impacts of COVID-19 and self-isolation.",2021,Jan,International Journal of Environmental Research and Public Health,18,1,,WOS:000606189800001,10.3390/ijerph18010188,,#77615,Blake 2021,Exclusion reason:  No serological antibody testing ; ,""
Comparative performance of multiplex salivary and commercially available serologic assays to detect SARS-CoV-2 IgG and neutralization titers,"Heaney, Christopher; Pisanic, Nora; Randad, Pranay; Kruczynski, Kate; Howard, Tyrone; Zhu, Xianming; Littlefield, Kirsten; Patel, Eshan; Shrestha, Ruchee; Laeyendecker, Oliver; Shoham, Shmuel; Sullivan, David; Gebo, Kelly; Hanley, Daniel; Redd, Andrew; Quinn, Thomas; Casadevall, Arturo; Zenilman, Jonathan; Pekosz, Andrew; Bloch, Evan; Tobian, Aaron AR","Oral fluid (hereafter saliva) offers a non-invasive sampling method for the detection of SARS-CoV-2 antibodies. However, data comparing performance of salivary tests against commercially-available serologic and neutralizing antibody (nAb) assays are lacking. This study compared the performance of a multiplex salivary SARS-CoV-2 IgG assay targeting antibodies to nucleocapsid (N), receptor binding domain (RBD) and spike (S) antigens to three commercially-available SARS-CoV-2 serology enzyme immunoassays (EIAs) (Ortho Vitros, Euroimmun, and BioRad) and nAb. Paired saliva and plasma samples were collected from 101 eligible COVID-19 convalescent plasma (CCP) donors >14 days since PCR+ confirmed diagnosis. Concordance was evaluated using positive (PPA) and negative (NPA) percent agreement, overall percent agreement (PA), and Cohen kappa coefficient. The range between salivary and plasma EIAs for SARS-CoV-2-specific N was PPA: 54.4-92.1% and NPA: 69.2-91.7%, for RBD was PPA: 89.9-100% and NPA: 50.0-84.6%, and for S was PPA: 50.6-96.6% and NPA: 50.0-100%. Compared to a plasma nAb assay, the multiplex salivary assay PPA ranged from 62.3% (N) and 98.6% (RBD) and NPA ranged from 18.8% (RBD) to 96.9% (S). Combinations of N, RBD, and S and a summary algorithmic index of all three (N/RBD/S) in saliva produced ranges of PPA: 87.6-98.9% and NPA: 50-91.7% with the three EIAs and ranges of PPA: 88.4-98.6% and NPA: 21.9-34.4% with the nAb assay. A multiplex salivary SARS-CoV-2 IgG assay demonstrated comparable performance to three commercially-available plasma EIAs and a nAb assay, and may be a viable alternative to assist in screening CCP donors and monitoring population-based seroprevalence and vaccine antibody response.",2021,,,,,,PPR276408,10.1101/2021.01.28.21250717,,#77382,Heaney 2021,"Exclusion reason: Wrong study design (anything other than cross sectional, repeated cross sectional, or cohort) ; ",""
SARS-CoV-2 screening for asymptomatic health care workers in UK stem cell transplant units,Bloor A.J.C.; Dignan F.L.; Lee J.; Orchard K.H. ,,2021,/,British Journal of Haematology,192,2,e37-e38,,http://dx.doi.org/10.1111/bjh.17196,2007447994,#78149,Bloor 2021,Exclusion reason:  No serological antibody testing ; ,""
Chilblains and COVID-19: Can recent epidemiological data shed light on the etiological debate?.,"Baeck, M; Herman, A","In March and April 2020, at the peak of the COVID-19 pandemic, several countries imposed lockdown measures. Concurrently, a significant number of chilblains were observed in otherwise healthy adolescents and young adults. The physiopathology of these chilblains has not been completely elucidated and their direct link to COVID-19 remains unconfirmed and debated1 . RT-PCR on nasopharyngeal swabs and anti-SARS-CoV-2 antibodies were negative in most patient series reported2 . Lifestyle changes associated with lockdown - notably increased sedentariness and prolonged barefoot exposure to cold floors - in predisposed subjects (high number of patients with antinuclear antibodies positivity and low BMI) could be a possible explanation for the outbreak of chilblains3,4 . The underreporting of chilblain ""outbreaks"" in Nordic countries, where strict confinement was not imposed, could also indirectly point towards a link between confinement and chilblains5 . Copyright This article is protected by copyright. All rights reserved.",2021,/,Clinical and experimental dermatology,,"ddu, 7606847",,,https://dx.doi.org/10.1111/ced.14586,33522016,#76147,Baeck 2021,Exclusion reason: No study end date; ,""
Seroprevalence of SARS-CoV-2 in Hong Kong returnees - Authors' reply.,"To, Kelvin Kai-Wang; Yuen, Kwok-Yung",,2020,/,The Lancet. Microbe,1,4,e148,,https://dx.doi.org/10.1016/S2666-5247(20)30092-6,33521714,#75749,To 2020,"Exclusion reason: Wrong study design (anything other than cross sectional, repeated cross sectional, or cohort) ; ",""
SARS-CoV-2 variants lacking a functional ORF8 may reduce accuracy of serological testing,"Pereira, F.",,2021,Jan,Journal of Immunological Methods,488,,,WOS:000600662800007,10.1016/j.jim.2020.112906,,#77488,Pereira 2021,"Exclusion reason: Wrong study design (anything other than cross sectional, repeated cross sectional, or cohort) ; ",""
Changes in SARS-CoV-2 spike versus nucleoprotein antibody responses impact the estimates of infections in population-based seroprevalence studies,Fenwick C.; Croxatto A.; Coste A.T.; Pojer F.; Andre C.; Pellaton C.; Farina A.; Campos J.; Hacker D.; Lau K.; Bosch B.-J.; Nussle S.G.; Bochud M.; DAcremont V.; Trono D.; Greub G.; Pantaleoa G. ,"A B S T R A C T Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)-specific antibody responses to the spike (S) protein monomer, S protein native trimeric form, or the nucleocapsid (N) proteins were evaluated in cohorts of individuals with acute infection (n 93) and in individuals enrolled in a postinfection seroprevalence population study (n 578) in Switzerland. Commercial assays specific for the S1 monomer, for the N protein, or within a newly developed Luminex assay using the S protein trimer were found to be equally sensitive in antibody detection in the acute-infection-phase samples. Interestingly, compared to anti-S antibody responses, those against the N protein appear to wane in the postinfection cohort. Seroprevalence in a ""positive patient contacts"" group (n 177) was underestimated by N protein assays by 10.9 to 32.2%, while the ""randomly selected"" general population group (n 311) was reduced by up to 45% relative to the S protein assays. The overall reduction in seroprevalence targeting only anti-N antibodies for the total cohort ranged from 9.4 to 31%. Of note, the use of the S protein in its native trimer form was significantly more sensitive compared to monomeric S proteins. These results indicate that the assessment of anti-S IgG antibody responses against the native trimeric S protein should be implemented to estimate SARS-CoV-2 infections in population-based seroprevalence studies. IMPORTANCE In the present study, we have determined SARS-CoV-2-specific antibody responses in sera of acute and postinfection phase subjects. Our results indicate that antibody responses against viral S and N proteins were equally sensitive in the acute phase of infection, but that responses against N appear to wane in the postinfection phase where those against the S protein persist over time. The most sensitive serological assay in both acute and postinfection phases used the native S protein trimer as the binding antigen, which has significantly greater conformational epitopes for antibody binding compared to the S1 monomer protein used in other assays. We believe these results are extremely important in order to generate correct estimates of SARS-CoV-2 infections in the general population. Furthermore, the assessment of antibody responses against the trimeric S protein will be critical to evaluate the durability of the antibody response and for the characterization of a vaccine-induced antibody response.Copyright © 2021 Fenwick et al. This is an open-access article distributed under the terms of the Creative Commons Attribution 4.0 International license",2021,/,Journal of Virology,95,3,e01828,,http://dx.doi.org/10.1128/JVI.01828-20,2010877676,#78558,Fenwick 2021,"Exclusion reason: Wrong study design (anything other than cross sectional, repeated cross sectional, or cohort) ; ",""
SARS-CoV-2 antibody testing for estimating COVID-19 prevalence in the population.,"Vogl, Thomas; Leviatan, Sigal; Segal, Eran","Reliable antibody testing against severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) has the potential to uncover the population-wide spread of coronavirus disease 2019 (COVID-19), which is critical for making informed healthcare and economic decisions. Here we review different types of antibody tests available for SARS-CoV-2 and their application for population-scale testing. Biases because of varying test accuracy, results of ongoing large-scale serological studies, and use of antibody testing for monitoring development of herd immunity are summarized. Although current SARS-CoV-2 antibody testing efforts have generated valuable insights, the accuracy of serological tests and the selection criteria for the tested cohorts need to be evaluated carefully. Copyright © 2021 The Authors.",2021,/,Cell reports. Medicine,,101766894,100191,,https://dx.doi.org/10.1016/j.xcrm.2021.100191,33521694,#76138,Vogl 2021,"Exclusion reason: Wrong study design (anything other than cross sectional, repeated cross sectional, or cohort) ; ",""
Characterization of SARS-CoV-2-specific antibodies in COVID-19 patients reveals highly potent neutralizing IgA.,"Zeng, Weihong; Ma, Huan; Ding, Chengchao; Yang, Yunru; Sun, Yong; Huang, Xiaoxue; He, Weihuang; Xiang, Yan; Gao, Yong; Jin, Tengchuan",,2021,/,Signal transduction and targeted therapy,6,1,35,,https://dx.doi.org/10.1038/s41392-021-00478-7,33514692,#75785,Zeng 2021,Exclusion reason: People with confirmed/suspect covid-19 + no subgroups; ,""
SARS-CoV-2 IgG and IgA antibody response is gender dependent; and IgG antibodies rapidly decline early on,Korte W.; Buljan M.; Rosslein M.; Wick P.; Golubov V.; Jentsch J.; Reut M.; Peier K.; Nohynek B.; Fischer A.; Stolz R.; Cettuzzi M.; Nolte O. ,,2021,/,Journal of Infection,82,1,e11-e14,,http://dx.doi.org/10.1016/j.jinf.2020.08.032,2007817978,#77156,Korte 2021,Exclusion reason: People with confirmed/suspect covid-19 + no subgroups; ,""
