Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,label,random
Laboratory correlates of SARS-CoV-2 seropositivity in a nationwide sample of patients on dialysis in the U.S.,"Anand, Shuchi; Montez-Rath, Maria E; Han, Jialin; Garcia, Pablo; Bozeman, Julie; Kerschmann, Russell; Beyer, Paul; Parsonnet, Julie; Chertow, Glenn M","Patients on dialysis are at high risk for death due to COVID-19, yet a significant proportion do survive as evidenced by presence of SARS-CoV-2 antibodies in 8% of patients in the U.S. in July 2020. It is unclear whether patients with seropositivity represent the subgroup with robust health status, who would be more likely to mount a durable antibody response. Using data from a July 2020 sample of 28,503 patients receiving dialysis, we evaluated the cross-sectional association of SARS-CoV-2 seropositivity with laboratory surrogates of patient health. In separate logistic regression models, we assessed the association of SARS-CoV-2 seropositivity with seven laboratory-based covariates (albumin, creatinine, hemoglobin, sodium, potassium, phosphate, and parathyroid hormone), across the entire range of the laboratory and in comparison to a referent value. Models accounted for age, sex, region, race and ethnicity, and county-level COVID-19 deaths per 100,000. Odds of seropositivity for albumin 3 and 3.5 g/dL were 2.1 (95% CI 1.9-2.3) and 1.3 (1.2-1.4) respectively, compared with 4 g/dL. Odds of seropositivity for serum creatinine 5 and 8 mg/dL were 1.8 (1.6-2.0) and 1.3 (1.2-1.4) respectively, compared with 12.5 mg/dL. Lower values of hemoglobin, sodium, potassium, phosphate, and parathyroid hormone were associated with higher odds of seropositivity. Laboratory values associated with poorer health status and higher risk for mortality were also associated with higher likelihood of SARS-CoV-2 antibodies in patients receiving dialysis.",2021,/,PloS one,16,4,e0249466,,https://dx.doi.org/10.1371/journal.pone.0249466,33857168,#97966,Anand 2021,,,1,0.302116315
SARS-CoV-2 antibody seroprevalence and associated risk factors in an urban district of Cameroon,"Nwosu, Kenechukwu; Fokam, Joseph; Wanda, Franck; Mama, Lucien; Orel, Erol; Ray, Nicolas; Meke, Jeanine; Tassegning, Armel; Takou, Desire; Mimbe, Eric; Stoll, Beat; Guillebert, Josselin; Comte, Eric; Keiser, Olivia; Ciaffi, Laura","The extent of SARS-CoV-2 circulation in many African countries remains unclear, underlining the need for antibody sero-surveys to assess the cumulative attack rate. Here, we present the results of a cross-sectional sero-survey of a random sample of residents of a health district in YaoundÃ©, Cameroon, conducted from October 14 to November 26, 2020. Among the 971 participants, the test-adjusted seroprevalence of anti-SARS-CoV-2 IgG antibodies was 29Â·2% (95%CI 24Â·3â€“34Â·1). This is about 323 times greater than the 0.09% nationwide attack rate implied by COVID-19 case counts at the time. Men, obese individuals and those living in large households were significantly more likely to be seropositive, and the majority (64Â·2% [58Â·7â€“69Â·4]) of seropositive individuals reported no symptoms. Despite the high seroprevalence, most of the population had not been infected with SARS-CoV-2, highlighting the importance of continued measures to control viral spread and quick vaccine deployment to protect the vulnerable.",2021,,,,,,PPR312741,10.21203/rs.3.rs-411135/v1,,#99572,Nwosu 2021,,,1,0.033616194
"Sars-cov-2 infection among the dental staff from lombardy region, italy","Gallus, Silvano; Paroni, Luca; Re, Dino; Aiuto, Riccardo; Battaglia, Davide Maria; Crippa, Rolando; Carugo, Nicolo; Paglia, Luigi; Beretta, Matteo; Balsano, Lorenzo ","Dentists have been supposed to be among the healthcare workers at greatest risk of SARS-CoV-2 infection. However, scant data are available on the issue. The aim of this study is to quantify the SARS-CoV-2 antibody prevalence and determinants in a sample of dentists, dental hygienists, and other personnel employed among the dental staff in Lombardy region. We used an accurate rapid diagnostic test kit detecting immunoglobulins (Ig) in 504 adults. Of the 499 participants who obtained a valid antibody test, 54 (10.8%) had a SARS-CoV-2 positive test (0.4% IgM+, 1.8% both IgM+ and IgG+, and 8.6% IgG+). A statistically significant association with infection was found for geographic area (compared to Milan, adjusted odds ratio was 2.79, 95% confidence interval, CI: 1.01-7.68 for eastern and 2.82, 95% CI: 1.34-5.94, for southern Lombardy). The clinical staff did not result positive to SARS-CoV-2 more frequently than the administrative staff. This is the first study using antibody test in the dental staff personnel. It shows that the prevalence of SARS-CoV-2 infection in Lombardy region was around 10%, in line with estimates on other healthcare professionals. Despite the close physical contact with the patient, dentists have been able to scrupulously manage and effectively use protective devices.Copyright Â© 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,/,International Journal of Environmental Research and Public Health,18,7,3711,,http://dx.doi.org/10.3390/ijerph18073711,2006877546,#97167,Gallus 2021,,,1,0.382380989
Prevalence and Clinical Impact of SARS-CoV-2 Silent Carriers Among Actively Treated Patients with Cancer During the COVID-19 Pandemic,"Zambelli, Alberto; Fotia, Vittoria; Negrini, Giorgia; Bosetti, Tommaso; Di Croce, Andrea; Caremoli, Elena Rota; Moro, Cecilia; Milesi, Laura; Poletti, Paola; Tasca, Cristina; Mandala, Mario; Merelli, Barbara; Mosconi, Stefania; Arnoldi, Ermenegildo; Bettini, Anna; Bonomi, Lucia; Messina, Caterina; Maracino, Michela; Tondini, Carlo; Callegaro, Annapaola; Chiudinelli, Lorenzo; Ghilardi, Laura; Chirco, Alessandra ","Introduction: In Europe, the SARS-CoV-2 pandemic had its first epicenter in Italy. Despite a significant mortality rate, the severity of most cases of COVID-19 infection ranges from asymptomatic to mildly symptomatic, and silent infection affects a still-unknown proportion of the general population. No information is available on the prevalence and clinical impact of SARS-CoV-2 silent infection among patients with cancer receiving anticancer treatment during the pandemic. Material(s) and Method(s): From April 1, 2020, to the end of the same month, 560 consecutive patients with cancer, asymptomatic for COVID-19 and on anticancer treatment at Papa Giovanni XXIII Hospital in Bergamo, were evaluated and tested for SARS-CoV-2. We implemented a two-step diagnostics, including the rapid serological immunoassay for anti-SARS-CoV-2 immunoglobulin (Ig) G/IgM and the nasopharyngeal swab reverse transcriptase-polymerase chain reaction (RT-PCR) test in case of seropositivity to identify SARS-CoV-2 silent carriers. Result(s): In 560 patients, 172 (31%) resulted positive for anti-SARS-CoV-2 IgM/IgG antibodies, regardless of different type of cancer, stage, and treatment. The Ig-seropositive patients were then tested with RT-PCR nasopharyngeal swabs, and 38% proved to be SARS-CoV-2 silent carriers. At an early follow-up, in the 97 SARS-CoV-2-seropositive/RT-PCR-negative patients who continued their anticancer therapies, only one developed symptomatic COVID-19 illness. Conclusion(s): Among patients with cancer, the two-step diagnostics is feasible and effective for SARS-CoV-2 silent carriers detection and might support optimal cancer treatment strategies at both the individual and the population level. The early safety profile of the different anticancer therapies, in patients previously exposed to SARS-CoV-2, supports the recommendation to continue the active treatment, at least in cases of RT-PCR-negative patients. Implications for Practice: This is the first study evaluating the prevalence and clinical impact of SARS-CoV-2 silent infection in actively treated patients with cancer, during the epidemic peak in one of the worst areas of the COVID-19 pandemic. Lacking national and international recommendations for the detection of asymptomatic SARS-CoV-2 infection, a pragmatic and effective two-step diagnostics was implemented to ascertain SARS-CoV-2 silent carriers. In this series, consisting of consecutive and unselected patients with cancer, the prevalence of both SARS-CoV-2-seropositive patients and silent carriers is substantial (31% and 10%, respectively). The early safety profile of the different anticancer therapies, in patients previously exposed to SARS-CoV-2, supports the recommendation to continue the active treatment, at least in case of RT-PCR-negative patients.Copyright Â© 2020 AlphaMed Press",2021,/,Oncologist,26,4,341-347,,http://dx.doi.org/10.1002/onco.13654,2010148502,#97058,Zambelli 2021,,,1,0.028359635
"Seroprevalence of sars-cov-2-specific antibodies in cancer patients undergoing active systemic treatment: A single-center experience from the marche region, italy","Cantini, Luca; Bastianelli, Lucia; Lupi, Alessio; Pinterpe, Giada; Pecci, Federica; Belletti, Giovanni; Stoico, Rosa; Vitarelli, Francesca; Giampieri, Riccardo; Berardi, Rossana; Moretti, Marco; Onori, Nicoletta; Rocchi, Marco Bruno Luigi ","Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) seroprevalence in cancer patients may vary widely dependent on the geographic area and this has significant implications for oncological care. The aim of this observational, prospective study was to assess the seroprevalence of SARS-CoV-2 IgM/IgG antibodies in solid cancer patients referred to the academic institution of the Marche Region, Italy, between 1 July and 26 October 2020 and to determine the accuracy of the rapid serological test. After performing 3767 GCCOV-402a rapid serological tests on a total of 949 patients, seroconversion was initially observed in 13 patients (1.4%). Ten (77% of the total positive) were IgG-positive, 1 (8%) were IgM-positive and 2 (15%) IgM-positive/IgG-positive. However, only 7 out of 13 were confirmed as positive at the reference serological test (true positives), thus seroprevalence after cross-checking was 0.7%. No false negatives were reported. The kappa value of the consistency analysis was 0.71. Due to rapid serological test high false positive rate, its role in assessing seroconversion rate is limited, and the standard serological tests should remain the gold standard. However, as rapid test negative predictive value is high, GCCOV-402a may instead be useful to monitor patient immunity over time, thus helping to assist ongoing vaccination programs.Copyright Â© 2021 by the authors. Licensee MDPI, Basel, Switzerland.",2021,/,Journal of Clinical Medicine,10,7,1503,,http://dx.doi.org/10.3390/jcm10071503,2006877808,#97168,Cantini 2021,,,1,0.944247133
Prevalence of SARS-COV-2 positivity in 516 German intensive care and emergency physicians studied by seroprevalence of antibodies National Covid Survey Germany (NAT-COV-SURV).,"Kindgen-Milles, Detlef; Brandenburger, Timo; Braun, Julian F W; Cleff, Corvin; Moussazadeh, Kian; Mrosewski, Ingo; Timm, Jorg; Wetzchewald, Dietmar","Healthcare personnel are at risk to aquire the corona virus disease 2019 (COVID-19) caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). We evaluated the prevalence of SARS-CoV-2 antibodies and positive nasopharyngeal reverse transcriptase polymerase-chain reaction (RT-PCR) tests in German intensive care and emergency physicians. Physicians attending intensive care and emergency medicine training courses between June 16th and July 2nd 2020 answered a questionnaire and were screened for SARS-CoV-2 antibodies via automated electrochemiluminiscence immunoassay. We recruited 516 physicans from all parts of Germany, 445/516 (86%) worked in high risk areas, and 379/516 (73%) had treated patients with COVID-19. The overall positive rate was 18/516 (3.5%), 16/18 (89%) had antibodies against SARS-COV-2, another 2 reported previous positive RT-PCR results although antibody testing was negative. Of those positive, 7/18 (39%) were unaware of their infection. A stay abroad was stated by 173/498 (35%), mostly in Europe. 87/516 (17%) reported a febrile respiratory infection after January 1st 2020 which was related to SARS-CoV-2 in 4/87 (4.6%). Contact to COVID-19 positive relatives at home was stated by 22/502 (4.4%). This was the only significant risk factor for Covid-19 infection (Fisher's exact test, p = 0.0005). N95 masks and eye protection devices were available for 87% and 73%, respectively. A total of 254/502 (51%) had been vaccinated against seasonal influenza. The overall SARS-CoV-2 infection rate of german physicians from intensive care and emergency medicine was low compared to reports from other countries and settings. This finding may be explained by the fact that the German health care system was not overwhelmed by the first wave of the SARS-CoV-2 pandemic.",2021,/,PloS one,16,4,e0248813,,https://dx.doi.org/10.1371/journal.pone.0248813,33831032,#96418,Kindgen-Milles 2021,,,1,0.31334185
Increased vulnerability to SARS-CoV-2 infection among indigenous peoples living in the urban area of Manaus,"Pontes, Gemilson Soares; de Melo Silva, Jean; Pinheiro-Silva, Renato; Barbosa, Anderson Nogueira; Santos, Luciano Cardenes; de PÃ¡dua Quirino Ramalho, AntÃ´nio; de Castro Alves, Carlos Eduardo; da Silva, Danielle Furtado; de Oliveira, Leonardo Calheiros; da Costa, Allyson GuimarÃ£es; Bruno, Ana Carla","<h4>Background</h4> The COVID-19 pandemic threatens indigenous peoples living in suburban areas of large Brazilian cities and has thus far intensified their pre-existing socio-economic inequalities. This study evaluated the epidemiological situation of SARS-CoV-2 infection among residents of the biggest urban multiethnic indigenous community of the Amazonas state, Brazil. <h4>Methods</h4> Blood samples of 280 indigenous people who live in the urban community known as Parque das Tribos, which is located in the surrounding area of Manaus, were tested for the presence of anti- SARS-CoV-2 IgA or IgG antibodies using an enzyme-linked immunosorbent assay. An epidemiological standardized interviewer-administered questionnaire was applied to assess the risk factors and sociodemographic information of the study population. <h4>Results</h4> We found a total positivity rate of 64.64% (95% CI 59.01-70.28) for SARS-CoV-2 infection. IgA and IgG were detected in 55.71% (95% CI 49.89-61.54) and 60.71% (95% CI 54.98-66.45) of the individuals tested, respectively. From the total number (n=280), 80.11% of positive individuals (95%; CI 74.24-85.98) were positive for both IgA and IgG Abs. All individuals with COVID-19-related symptoms on the day of blood collection (n=11) were positive for IgG, while IgA was detected in 84.61% (n=55) of individuals who had presented symptoms several weeks before the blood collection. Individuals aged 30-39 were more susceptible to SARS-CoV-2 infection (prevalence ratio [PR] 0.77; 95% CI 0.58-1.03; p=0.033). People whose main source of information on COVID-19 was religious leaders or friends showed higher susceptibility to infection (PR 1.22; 95% CI 1.00-1.49; p=0.040). In addition, individuals who left home more frequently were at higher risk of infection (PR 1.22; 95% CI 1.00-1.49; p=0.048). Five or more individuals per household increased almost 5-fold the risk of virus transmission (Odds ratio [OR] 2.56; 95% CI; 1.09-6.01; p=0.019). Over 95% of the study population had no access to clean water and/or sanitation. <h4>Conclusions</h4> The disproportionate dissemination of SARS-CoV-2 infection observed in the Parque das Tribos urban indigenous community might be driven by typical cultural behavior and socioeconomic inequalities. Despite the pandemic threat, this population is not being targeted by public policies and appears to be chronically invisible to the Brazilian authorities.",2021,,,,,,PPR308716,10.1101/2021.04.05.21254937,,#97358,Pontes 2021,,,1,0.479521216
Inflammatory bowel disease is associated with higher seroprevalence rates of antibodies against SARS-CoV-2,"Lodyga, Michal; Maciejewska, Katarzyna; Eder, Piotr; Waszak, Katarzyna; Stawczyk-Eder, Kamila; Dobrowolska, Agnieszka; Michalak, Michal; Wisniewska-Jarosinska, Maria; Gasiorowska, Anita; Cicha, Malgorzata; Wierzba, Waldemar; Rydzewska, Grazyna ","IntroductIon According to the current data, there has been no increase in the incidence of COVID-19 in patients with inflammatory bowel disease (IBD). objEctIvEs The available data are based on symptomatic cases and do not include the asymptomatic ones. To measure the exact infection rate, we initiated a study that aimed to assess the seroprevalence of anti-SARS-CoV-2 antibodies in IBD. PAtIEnts And mEthods A total of 864 individuals were enrolled in the study, including 432 patients with IBD (290 with Crohn disease and 142 with ulcerative colitis) and 432 controls without IBD (healthcare professionals) matched for age and sex. Serum samples were prospectively collected, and the presence of anti-SARS-CoV-2 immunoglobulin (Ig) G and IgM + IgA antibodies were measured using the enzyme-linked immunoassay method (Vircell Microbiologists). rEsuLts A significantly higher percentage of positive results for anti-SARS-CoV-2 antibodies, both in the IgG and IgM + IgA class, was found in patients with IBD (4.6% and 6%, respectively, compared with 1.6% and 1.1%, respectively, in controls; both P values <0.05). No patient had symptomatic COVID-19. There was no association among patients' age, sex, drugs used for IBD, or disease activity and the occurrence of IgG antibodies. concLusIons Patients with IBD may be at higher risk of developing SARS-CoV-2 infection, defined as the presence of elevated levels of anti-SARS-CoV-2 IgG antibodies, but not of having a symptomatic and / or severe course of COVID-19 compared with healthcare professionals without IBD.Copyright by the Author(s), 2021.",2021,/,Polish Archives of Internal Medicine,131,3,227-232,,http://dx.doi.org/10.20452/pamw.15796,2011572581,#97164,Lodyga 2021,,,1,0.150325307
Detection of SARS-CoV-2 antibodies formed in response to the BNT162b2 and mRNA-1237 mRNA vaccine by commercial antibody tests,"Kanji, Jamil; Bailey, Ashley; Fenton, Jayne; Ling, Sean; Rivera, Rafael; Plitt, Sabrina; Sligl, Wendy; Taylor, Sean; Turnbull, LeeAnn; Tipples, Graham; Charlton, Carmen","<h4>ABSTRACT</h4> <h4>PURPOSE</h4> With rapid approval of SARS-CoV-2 vaccines, the ability of clinical laboratories to detect vaccine-induced antibodies with available high-throughput commercial assays is unknown. We aimed to determine if commercial serology assays can detect vaccine-induced antibodies (VIAs) and understand the vaccination response. <h4>METHODS</h4> This cohort study recruited healthcare workers and residents of long-term care facilities (receiving the BNT162b2 and mRNA-1273 products, respectively) who underwent serum collection pre-vaccination (BNT162b2 group), 2-weeks post vaccination (both groups), and pre-2 nd dose (both groups). Sera were tested for the presence of SARS-CoV-2 IgG using four commercial assays (Abbott Architect SARS-CoV-2 IgG, Abbott Architect SARS-CoV-2 IgG II Quant, DiaSorin Liaison Trimeric S IgG, and GenScript cPASS) to detect VIAs. Secondary outcomes included description of post-vaccination antibody response and correlation with neutralising titers. <h4>RESULTS</h4> 225 participants (177 receiving BNT162b2 and 48 receiving mRNA-1273) were included (median age 41 years,; 66-78% female). Nucleocapsid IgG was found in 4.1% and 21.9% of the BNT162b2 (baseline) and mRNA-1273 (2-weeks post first dose). All anti-spike assays detected antibodies post-vaccination, with an average increase of 87.2% (range 73.8-94.3%; BNT162b2), and 25.2% (range 23.8-26.7%; mRNA-1273) between the first and last sampling time points (all p<0.05). Neutralising antibodies were detected at all post-vaccine timepoints for both vaccine arms, with increasing titers over time (all p<0.05). <h4>CONCLUSION</h4> Anti-spike vaccine-induced SARS-CoV-2 IgG are detectable by commercially available high-throughput assays and increases over time. Prior to second dose of vaccination, neutralising antibodies are detectable in 73-89% of individuals, suggesting the majority of individuals would have some degree of protection from subsequent infection.",2021,,,,,,PPR307503,10.1101/2021.03.30.21254604,,#97319,Kanji 2021,,,1,0.131768108
Seroprevalence of SARS-CoV-2 in blood donors from the Lodi Red Zone and adjacent Lodi metropolitan and suburban area,"Percivalle, Elena; Sarasini, Antonella; Maserati, Roberta; Cassaniti, Irene; Vecchio Nepita, Edoardo; Ferrari, Alessandro; Corcione, Alfonso; Di Martino, Raffaella; Bonetti, Alice; Di Napoli, Annapia; Ferrari, Guglielmo; Baldanti, Fausto; Cambie, Giuseppe ","Objectives: To define the seroprevalence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) in blood donors (referred to the first lockdown area (Lodi Red-Zone) of the Lombardy region and in a contiguous area that was not included in the first lockdown); to define the agreement between a commercial serological assay and a reference microneutralization assay; and to evaluate the persistence of SARS-CoV-2 neutralizing antibodies in a cohort of blood donors. Method(s): Blood donors referred to the first lockdown area in Lombardy Region and the neighbouring area were analysed for SARS-CoV-2 IgG-specific antibodies during the period 18 March to 24 June 2020. Serum samples were analysed using both a chemiluminescent immunoassay (LIAISON SARS-CoV-2 S1/S2 IgG, DiaSorin) for the quantitative characterization of SARS-CoV-2 anti-S1 and anti-S2 IgG antibodies and a neutralizing antibodies (NT-Abs) assay. Result(s): In the period from 18 March to 24 June, 1922 blood donors were tested for the presence of SARS-CoV-2 IgG showing a prevalence of 378/1922 (19.7%). A subgroup of 1139 blood donors were tested in parallel with a SARS-CoV-2 IgG assay and a microneutralization assay showing a prevalence of 22.2% and 21.6%, respectively. SARS-CoV-2 IgG quantification was correlated with NT-Abs titres. In 78.2% of participants the NT-Abs titre was maintained, but in 15.8% it decreased by one four-fold dilution and in 6.0% it increased by one four-fold dilution. Conclusion(s): The duration of immunity of SARS-CoV-2 is crucial for the course of the pandemic and for this reason the monitoring of NT Abs is important. Despite a stable NT-Abs titre being observed in the majority of blood donors, our findings need to be validated in a long-term period of follow up.Copyright Â© 2021 European Society of Clinical Microbiology and Infectious Diseases",2021,/,Clinical Microbiology and Infection,,"(Cassaniti, Percivalle, Sarasini, Vecchio Nepita, Maserati, Ferrari, Corcione, Di Martino, Bonetti, Di Napoli, Ferrari, Baldanti) Molecular Virology Unit, Microbiology and Virology Department, IRCCS Policlinico San Matteo, Pavia, Italy(Cassaniti, Vecchio ",,,http://dx.doi.org/10.1016/j.cmi.2021.01.030,2011460645,#97150,Percivalle 2021,,,1,0.521300741
Prevalence of SARS-CoV-2-Antibodies in Danish Children and Adults,"Mandic, Ida Nikoline; Kristensen, Kim; Rytter, Maren J H; Nygaard, Ulrikka; Schmiegelow, Kjeld; Glenthoj, Jonathan Peter; Schmidt, Lisbeth Samso; Sondergaard, Mia Johanna; Cortes, Dina; Smith, Birgitte; Zaharov, Tatjana; Lawaetz, Marie Cecilie; Saekmose, Susanne; Jensen, Lise Heilmann ","In Denmark, severe acute respiratory syndrome coronavirus 2 antibodies were assessed in a cross-sectional study among 1033 children visiting pediatric departments and 750 blood donors in June 2020, using a point-of-care test. Antibodies were detected in 17 children (1.6%) and 15 blood donors (2.0%) (P = 0.58). In conclusion, children and adults were infected to a similar low degree.Copyright Â© 2021 Wolters Kluwer Health, Inc. All rights reserved.",2021,/,The Pediatric infectious disease journal,40,4,e157-e159,,http://dx.doi.org/10.1097/INF.0000000000003048,633989351,#97313,Mandic 2021,,,1,0.438676762
"High SARS-CoV-2 IgG/IGM seroprevalence in asymptomatic Congolese in Brazzaville, the Republic of Congo","Ndounga, Matthieu; Vouvoungui, Jeannhey Christevy; Boumpoutou, Kamal Rauchelvy; Batchi-Bouyou, Armel Landry; Lobaloba Ingoba, Line; Mfoutou Mapanguy, Claujens Chastel; Ntoumi, Francine ","Introduction: The Republic of the Congo detected its first case of coronavirus disease 2019 (COVID-19) on March 14, 2020, and within several weeks, the country had introduced protective measures that were still in force in July 2020. Over the course of time, the progression in the number of clinical cases has appeared to be lower than expected, although reverse transcription polymerase chain reaction (RT-PCR) testing has been somewhat limited. In order to evaluate the incidence of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) within the Congolese population, a seroprevalence study was conducted on healthy individuals from different districts of Brazzaville who were willing to know their COVID-19 infection status. Method(s): Oropharyngeal swab and blood samples were collected from 754 healthy volunteers between April 2020 and July 2020. The samples were analyzed for SARS-CoV-2 using a qualitative RT-PCR assay, and Immunoglobulin G (IgG) and Immunoglobulin M (IgM) antibodies were detected using two different rapid tests. Result(s): A total of 56 participants (7.4%) tested positive for SARS-CoV-2. The remaining 698 participants (92.6%) had negative RT-PCR results; of these, 117 were found to have anti-SARS-CoV-2 antibodies using serological tests. For these RT-PCR-negative subjects, the seroprevalence of IgG and IgM was found to increase over time: from 1.7% and 2.5% in April, up to 14.2% and 17.6% in July, respectively. In April 2020, 5% of the women were found to have IgG or IgM antibodies, whereas the antibodies were not detected in any of the men. The seroprevalence in RT-PCR negative subjects was significantly higher in women within IgG (P = 0.012) and IgM (P = 0.045) over the first three months. Conclusion(s): The proportion of the population who seroconvert over the course of the first wave is an important data to predict the risk of future COVID-19 waves and this will facilitate the efficient use of limited resources in a low income country like the Republic of the Congo.Copyright Â© 2020 The Authors",2021,/,International Journal of Infectious Diseases,106,"(Batchi-Bouyou, Lobaloba Ingoba, Ndounga, Vouvoungui, Mfoutou Mapanguy, Boumpoutou, Ntoumi) Fondation Congolaise pour la Recherche Medicale (FCRM), Brazzaville, Congo(Batchi-Bouyou, Lobaloba Ingoba, Mfoutou Mapanguy, Ntoumi) Faculty of Sciences and Techno",07-Mar,,http://dx.doi.org/10.1016/j.ijid.2020.12.065,2011576638,#97296,Ndounga 2021,,,1,0.121201407
Gastrointestinal endoscopy can be safely performed during pandemic SARS-CoV-2 infection in Central Italy.,"Dilaghi, Emanuele; Marcolongo, Adriano; Anibaldi, Paolo; Simmaco, Maurizio; Prestigiacomo, Claudio; Angeletti, Stefano; Corleto, Vito D; D'Ambra, Giancarlo; Ruggeri, Maurizio; Di Giulio, Emilio; Annibale, Bruno; Lahner, Edith","OBJECTIVES: Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is highly contagious; gastrointestinal endoscopies are considered risky procedures for the endoscopy staff. Data on the SARS-CoV-2-exposure/infection rate of gastrointestinal endoscopy staff is scarce. This study aimed to assess the SARS-CoV-2-exposure/infection rate among gastrointestinal endoscopists/nurses performing gastrointestinal endoscopies before and after the adoption of specific prevention measures., PATIENTS AND METHODS: Cross-sectional study in a teaching hospital (Rome, Central Italy) on retrospective data (9 March-15 April 2020) of consecutive gastrointestinal endoscopies, characteristics of procedures, patients and endoscopy staff, SARS-CoV-2-exposure/positivity of patients and staff before and after adoption of prevention measures. Exposed staff tested for SARS-CoV-2 by nasopharyngeal swabs(RNA-PCR) and serology., RESULTS: A total of 130 gastrointestinal endoscopies were performed in 130 patients (age 66 +/- 14 years, 51% women, 51% inpatients, 56.9% lower). A total of 12 (9.2%) patients were SARS-CoV-2-positive and 14(10.8%) had a high risk of potential infection. Of the endoscopy staff (n = 16, 5 endoscopists, 8 nurses and 3 residents), 14 (87.5%) were exposed to SARS-CoV-2-infected and 16 (100%) to potentially infected patients. 3/5 and 5/5 endoscopists were exposed to actual and potential, 1/3 and 3/3 residents to actual and potential and 8/8 nurses to actual and potential infection, respectively. None of the staff was found to be infected with SARS-CoV-2. None experienced fever or any other suspicious symptoms of coronavirus disease 2019. Before the adoption of prevention measures, more endoscopists/nurses were in the endoscopy room than after (3.5 +/- 0.6 vs. 2.1 +/- 0.3, P < 0.0001)., CONCLUSIONS: Despite supposed high infection risk, gastrointestinal endoscopies may be safe for the endoscopy staff during the SARS-CoV-2 pandemic. Copyright Â© 2021 Wolters Kluwer Health, Inc. All rights reserved.",2021,/,European journal of gastroenterology & hepatology,,"9000874, B9X",,,https://dx.doi.org/10.1097/MEG.0000000000002155,33795580,#93678,Dilaghi 2021,,,1,0.797420781
"The emergence, surge and subsequent wave of the SARS-CoV-2 pandemic in New York metropolitan area: The view from a major region-wide urgent care provider","Rane, Madhura; Profeta, Angela; Poehlein, Emily; Kulkarni, Sarah; Robertson, McKaylee; Gainus, Chris; Parikh, Ashish; LeBenger, Kerry; Frogel, Daniel; Nash, Denis","<h4>Background: </h4> Describing SARS-CoV-2 testing and positivity trends among urgent care users is crucial for understanding the trajectory of the pandemic. <h4>Objective: </h4> To describe demographic and clinical characteristics, positivity rates, and repeat testing patterns among patients tested for SARS-CoV-2 at CityMD, an urgent care provider in the New York City metropolitan area. <h4>Design: </h4> Retrospective study of all persons testing for SARS-CoV-2 between March 1, 2020 and January 8, 2021 at 115 CityMD locations in the New York metropolitan area. Patients : Individuals receiving a SARS-CoV-2 diagnostic or serologic test. Measurements : Test and individual level SARS-CoV-2 positivity by PCR, rapid antigen, or serologic tests. <h4>Results: </h4> During the study period, 3.4 million COVID tests were performed on 1.8 million individuals. In New York City, CityMD diagnosed 268,298 individuals, including 17% of all reported cases. Testing levels were higher among 20-29 year olds, non-Hispanic Whites, and females compared with other groups. About 24.8% (n=464,902) were repeat testers. Test positivity was higher in non-Hispanic Black (6.4%), Hispanic (8.0%), and Native American (8.0%) patients compared to non-Hispanic White (5.4%) patients. Overall seropositivity was estimated to be 21.7% (95% Confidence Interval [CI]: 21.6-21.8) and was highest among 10-14 year olds (27.3%). Seropositivity was also high among non-Hispanic Black (24.5%) and Hispanic (30.6%) testers, and residents of the Bronx (31.3%) and Queens (30.5%). Using PCR as the gold standard, SARS-CoV-2 rapid tests had a false positive rate of 5.4% (95%CI 5.3-5.5). <h4>Conclusion: </h4> Urgent care centers can provide broad access to critical evaluation, diagnostic testing and treatment of a substantial number of ambulatory patients during pandemics, especially in population-dense, urban epicenters.",2021,,,,,,PPR308669,10.1101/2021.04.06.21255009,,#97354,Rane 2021,,,1,0.863678058
